,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
10,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.102375,9064854138,11,9064857348.0,370170978.0,0.10469,0.101364,-0.001327804397382546,-1.28039,-100883104.13985252,-1.10065,88647847952.515,88647879342.5367,,0.231673,-55.88305,2018-01-05T00:00:00.000Z,0.00180434,5564.50098,2017-11-12T00:00:00.000Z,2023-11-16T23:30:57.393Z
11,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.837529,7774389612,12,8395366482.0,1032547930.0,0.940724,0.837798,-0.08272270845707963,-8.98913,-778926868.3024626,-9.10672,9260333814.549534,10000000000.0,10000000000.0,2.92,-71.22133,2021-12-27T02:08:34.307Z,0.00314376,26596.11437,2019-05-10T00:00:00.000Z,2023-11-16T23:30:58.169Z
12,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.78,7689790888,14,13809448299.0,972095577.0,15.16,13.65,-1.3607296781933123,-8.98607,-753107932.8178291,-8.92002,556849971.2305644,1000000000.0,1000000000.0,52.7,-73.81166,2021-05-10T00:13:57.214Z,0.148183,9213.04481,2017-11-29T00:00:00.000Z,2023-11-16T23:30:59.729Z
13,avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,21.5,7646998221,13,9309374770.0,1784152805.0,23.91,20.31,0.806534,3.89676,303807256.0,4.13726,355571779.084689,432869323.779043,720000000.0,144.96,-85.16961,2021-11-21T14:18:56.538Z,2.8,667.50518,2020-12-31T13:15:21.540Z,2023-11-16T23:30:51.759Z
14,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,5.34,6913862455,15,7345194412.0,366913075.0,5.76,5.3,-0.2105905935194059,-3.79483,-284017038.9326124,-3.94584,1297523319.28665,1378471309.92191,,54.98,-90.2976,2021-11-04T14:10:09.301Z,2.7,97.75934,2020-08-20T05:48:11.359Z,2023-11-16T23:30:59.592Z
15,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,36075.0,5896066067,16,5896066067.0,216616515.0,37898.0,35624.0,-1705.6126256220668,-4.51457,-275801120.8839483,-4.46868,163824.97087565,163824.97087565,163824.97087565,70643.0,-49.05394,2021-11-10T14:40:19.650Z,3139.17,1046.48125,2019-04-02T00:00:00.000Z,2023-11-16T23:30:53.947Z
16,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,5276319520,17,5276319520.0,240835622.0,1.002,0.99395,-8.321348369944e-05,-0.00832,3522424.0,0.0668,5283605108.72404,5283605108.72404,,1.22,-17.99639,2020-03-13T03:02:50.373Z,0.88196,13.33476,2023-03-11T07:50:50.514Z,2023-11-16T23:30:01.246Z
17,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,70.86,5224479627,18,5940015324.0,532304917.0,74.34,69.93,-3.315572911752554,-4.46965,-239312966.61744118,-4.37998,73881339.4834713,84000000.0,84000000.0,410.26,-82.7593,2021-05-10T03:13:07.904Z,1.15,6056.77807,2015-01-14T00:00:00.000Z,2023-11-16T23:30:51.641Z
18,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,8.42e-06,4970260713,19,8433645721.0,300993614.0,9.13e-06,8.35e-06,-3.54082059397e-07,-4.03328,-198864436.843997,-3.84716,589326801322598.2,999982444168755.0,,8.616e-05,-90.22227,2021-10-28T03:54:55.568Z,5.6366e-11,14945646.40092,2020-11-28T11:26:25.838Z,2023-11-16T23:31:00.955Z
19,the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,2.27,4845054584,20,11564901377.0,70858236.0,2.48,2.26,-0.13135661239121754,-5.47475,-265167245.45809937,-5.18896,2135795279.25773,5098035808.66279,,5.29,-57.07193,2021-11-12T06:50:02.476Z,0.519364,337.31121,2021-09-21T00:33:11.092Z,2023-11-16T23:30:54.878Z
