,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
50,render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.05,1145019055,51,1624705579.0,416222469,3.31,2.72,0.327391,12.01833,135852116.0,13.46181,374242185.823796,531024671.103796,531024671.103796,8.78,-64.73902,2021-11-21T10:03:19.097Z,0.03665669,8348.59361,2020-06-16T13:22:25.900Z,2023-11-16T21:00:34.460Z
51,elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1696512162,43.08,1129804375,52,1130026420.0,50572105,48.84,42.42,-4.052912524819256,-8.59943,-110813559.2444675,-8.93213,26214315.0,26219467.0,31415926.0,545.64,-92.09316,2021-11-23T10:33:26.737Z,6.51,563.05674,2020-10-07T01:44:53.554Z,2023-11-16T21:00:29.651Z
52,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1696504978,0.136176,1094953283,53,1094953282.0,80792242,0.146913,0.133182,-0.007020301905808769,-4.90257,-54671226.249299765,-4.75557,8006093735.80029,8006093730.23929,10000000000.0,3.56,-96.15649,2019-06-20T14:51:19.480Z,0.087513,56.40271,2023-09-11T19:42:08.247Z,2023-11-16T21:00:31.991Z
53,fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.353257,990402466,54,1121589655.0,271950572,0.376689,0.325173,0.024538,7.46474,69858986.0,7.58888,2803634835.52659,3175000000.0,3175000000.0,3.46,-89.73402,2021-10-28T05:19:39.845Z,0.00190227,18564.87834,2020-03-13T02:25:38.280Z,2023-11-16T21:00:31.927Z
54,flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,0.663752,978725253,55,978725253.0,87872169,0.735611,0.650827,-0.03465709198741773,-4.96229,-48313162.53688586,-4.70412,1471201014.0,1471201013.95802,1471201013.95802,42.4,-98.43085,2021-04-05T13:49:10.098Z,0.391969,69.72672,2023-09-11T19:41:06.528Z,2023-11-16T21:00:35.785Z
55,havven,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1696504103,2.93,956204862,56,958324983.0,180685843,3.3,2.9,-0.0961117365506361,-3.17745,-32556332.5343163,-3.29264,326492861.13952357,327216769.088774,327216769.088774,28.53,-89.67715,2021-02-14T01:12:38.505Z,0.0347864,8366.94601,2019-01-06T00:00:00.000Z,2023-11-16T21:00:37.086Z
56,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1696507128,48.44,949582079,57,1019812890.0,57760529,50.83,47.63,-0.6862550886239163,-1.39683,-11639178.354390979,-1.21087,19553806.25,21000000.0,21000000.0,489.75,-90.0815,2021-04-16T17:09:04.630Z,21.43,126.62139,2023-06-10T04:32:12.266Z,2023-11-16T21:00:32.966Z
57,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,0.944602,944602123,58,944602123.0,21066670,0.970347,0.919067,-0.015289302729310396,-1.59282,-19026620.464615703,-1.97448,1000000000.0,1000000000.0,1000000000.0,15.72,-93.97195,2021-04-16T13:15:11.190Z,0.04039979,2245.53839,2020-03-13T02:24:16.483Z,2023-11-16T21:00:38.347Z
58,bittensor,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,166.01,941802474,59,941802474.0,6593651,174.06,158.29,-2.1443650946847868,-1.27525,941802474.0,0.0,5653953.0,5653953.0,21000000.0,174.06,-4.62858,2023-11-16T04:40:14.178Z,30.83,438.46389,2023-05-14T08:57:53.732Z,2023-11-16T20:58:25.397Z
59,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1696503035,0.654813,930485826,60,1190450037.0,37872848,0.676584,0.644351,0.00618682,0.95384,6665619.0,0.72153,1420994732.58368,1818000000.0,1818000000.0,3.39,-80.46344,2021-12-01T01:32:34.725Z,0.04559639,1352.34788,2020-03-13T02:29:26.415Z,2023-11-16T21:00:36.020Z
